requirement_id,source_prd_section,schema_or_api,component,test,metric_gate,owner_role,status,evidence_note
FR-001,21.1,packages/ntruth/schemas/experiment.py,semantic-kernel,tests/unit/test_prd_v3_determinability_graph.py;tests/unit/test_prd_v8_experiment_block_boundary.py,"ExperimentBlock immutable, versioned and boundary-verified",semantic-lead,PARTIAL,"Schema contracts exist and are exercised via block-boundary tests; a dedicated ExperimentBlock versioning test for the unified tree is still pending."
FR-002,21.1,packages/ntruth/schemas/v9_registry.py,contract-governance,tests/unit/test_prd_v9_registry.py,"registry frozen at 9.0.0; deprecated v8 writer aliases rejected",contract-governance,IMPLEMENTED,"Canonical Schema Registry is the single machine-readable vocabulary source."
FR-003,21.1,packages/ntruth/schemas/factor_role.py,scientific-semantics,tests/unit/test_prd_v9_factor_role.py,no EU emitted on UNKNOWN role or undefined contrast type,methodology-lead,IMPLEMENTED,"FactorRole/ContrastType gates eu_claim_permitted() fail-closed."
FR-004,21.1,packages/ntruth/schemas/material_lineage.py,scientific-semantics,tests/unit/test_prd_v9_material_lineage.py,SPLIT never creates independence; POOL never silently merges lineage,methodology-lead,IMPLEMENTED,"Event timing lives in packages/ntruth/schemas/events.py with tests/unit/test_prd_v8_events_and_graph.py."
FR-005,21.1,packages/ntruth/scientific/assignment_anchor.py,rule-engine,tests/unit/test_prd_v9_gates.py,exposure-only EU rejected; interference never renames the EU,methodology-lead,IMPLEMENTED,"Assignment anchoring combined with role/type gate in packages/ntruth/scientific/v9_gates.py."
FR-006,21.1,packages/ntruth/derivation_theory/contracts.py,rule-engine,tests/unit/test_prd_v8_derivation_theory_conformance.py,theory conformance harness green; evaluator digest pinned,derivation-theory-reviewers,PARTIAL,"Theory bundle theories/ntruth-derivation-theory-0.1.0.json is pinned; assignment-anchored clause rewrite still open (SRR-V8-021/SRR-V8-022)."
FR-007,21.1,packages/ntruth/schemas/claims.py,semantic-kernel,tests/unit/test_prd_v8_derivation_runtime.py,determinability explicit per claim; no bare unknown values,semantic-lead,IMPLEMENTED,"DerivedClaim carries determinability_state and min-length proof_trace."
FR-008,21.1,packages/ntruth/schemas/contrast_support.py,rule-engine,tests/unit/test_prd_v9_contrast_support.py,aliasing downgrades contrast support without renaming the EU,biostatistician,IMPLEMENTED,"ContrastSupportStatus integrated with the v9 claim gate."
FR-009,21.1,MISSING_EXPLICIT,scientific-semantics,NONE_WITH_RATIONALE,target generalization defaults to NOT_ASSESSED,semantic-lead,PLANNED,"ObservedEvidenceScope and TargetPopulationClaim types are absent from the repository; both are required before any population-level wording can be represented."
FR-010,21.1,packages/ntruth/schemas/adequacy.py,prospective-reporting,NONE_WITH_RATIONALE,adequacy only with criterion/query/reviewer/version bound,biostatistician,PARTIAL,"DesignAdequacyEvaluation exists but the separate DesignDiagnosticFinding type and dedicated adequacy tests do not exist yet."
FR-011,21.1,packages/ntruth/schemas/count_registry.py,count-theory,tests/unit/test_prd_v8_count_registry.py,count scope identity stable across migrations,count-theory-reviewers,IMPLEMENTED,"Canonical Count Registry with kind/query/cohort/group scoping."
FR-012,21.1,packages/ntruth/schemas/claims.py,semantic-kernel,tests/unit/test_prd_v8_kernel_fix_round1.py,decisive claims expose sensitivity references,semantic-lead,IMPLEMENTED,"proof_trace enforced on DerivedClaim; SensitivityRecord contract in packages/ntruth/schemas/support.py."
FR-013,21.1,packages/ntruth/schemas/coverage.py,profile-governance,tests/unit/test_prd_v9_contrast_support.py,completeness bounded by a finalized assumption set,profile-governance,IMPLEMENTED,"EXHAUSTIVE_WITHIN_PROFILE retired; assumption_set_id/version/finalized enforced on ScenarioCoverage."
FR-014,21.1,packages/ntruth/corrections/v8.py,scientific-governance,tests/unit/test_corrections.py,RuleChallenge triggers re-derivation and never patches runtime output,scientific-governance,IMPLEMENTED,"RuleChallenge/RuleChallengeDecision contracts in packages/ntruth/schemas/support.py."
FR-015,21.1,packages/ntruth/scientific/v9_gates.py,rule-engine,tests/unit/test_prd_v9_gates.py,ineligible role/type combinations blocked fail-closed with reason,methodology-lead,IMPLEMENTED,"gate_experimental_unit_claim() returns an explicit denial reason instead of emitting a claim."
NFR-01,22,packages/ntruth/model_backends/base.py,runtime-backends,NONE_WITH_RATIONALE,no silent cloud calls; local backends are the default,product-owner,PARTIAL,"Local-first honored by MLX/Granite backends; no automated network-egress regression test exists yet."
NFR-02,22,packages/ntruth/governance/privacy.py,data-governance,NONE_WITH_RATIONALE,logs carry hashes and coordinates and never raw identifiers,security-engineer,PARTIAL,"Stand-off identifier scanner and redaction copy exist; systematic audit-event scrubbing across pipelines is not wired end-to-end."
NFR-03,22,packages/ntruth/schemas/core.py,release-governance,tests/unit/test_prd_v8_task7_reality_gate.py,content-addressed ids and checksums across custody chains,release-governance,IMPLEMENTED,"content_checksum() underpins training custody and Reality Gate contracts."
NFR-04,22,packages/ntruth/schemas/v9_registry.py,contract-governance,tests/unit/test_prd_v9_registry.py,single writable vocabulary source; aliases rejected at write time,contract-governance,IMPLEMENTED,"Registry freezes FactorRole/ContrastType/MaterialLineage event kinds/SupportProfile dimensions/KnowledgeState imports."
NFR-05,22,packages/ntruth/conformance/harness.py,rulebook-maintainers,tests/unit/test_prd_v8_task9_evaluator_transitive_digest.py,deterministic versioned theory/rules with transitive digest pinned,rulebook-maintainers,IMPLEMENTED,"Evaluator registry digest tests lock reproducibility of theory+rules artifacts."
NFR-06,22,uv.lock,migration-maintainers,tests/integration/test_prd_v8_packaged_conformance.py,clean checkout installs from lockfile and passes packaged suite,migration-maintainers,PARTIAL,"Lockfile plus packaged-conformance integration test exist; periodic clean-checkout verification is manual per docs/documentation-clean-checkout-verification.md."
NFR-07,22,packages/ntruth/ingest/safety.py,input-safety,tests/security/test_hostile_input.py,hostile formats quarantined; no imported code execution,input-safety,IMPLEMENTED,"Also covered by tests/integration/test_ingest_blocks_formats.py."
NFR-08,22,MISSING_EXPLICIT,parser-sandbox,NONE_WITH_RATIONALE,parser-specific resource quotas/timeouts/quarantine per stage,security-engineer,PLANNED,"No quota/timeout/quarantine implementation found under packages/ntruth/parser_ai/ or packages/ntruth/ingest/; required by PRD §20.8 secure ingest architecture."
NFR-09,22,MISSING_EXPLICIT,evaluation-methods,NONE_WITH_RATIONALE,partial success reported explicitly and never silently truncated,evaluation-lead,PLANNED,"No partial-success contract exists in the repository; current truncation signals are ad hoc inside individual modules."
NFR-10,22,packages/ntruth/runtime_resources/profiles.py,performance-engineering,tests/unit/test_runtime_resource_manager.py,profiles are benchmark-derived configurations and never accuracy claims,performance-engineer,PARTIAL,"Profiles and stage manager implemented; budgets sourced from benchmarks/runtime/ but the refresh cadence is undefined."
